seed,a_star,eps,vis,fr,rank,dropped,total_tries
41,0,0.02,100,0.02,3,0,355200
41,0,0.02,100,0.01,5,0,354750
41,0,0.02,100,0.005,4,0,345350
41,0,0.02,100,0.0025,4,0,345000
42,1,0.02,100,0.02,4,0,265450
42,1,0.02,100,0.01,4,0,264100
42,1,0.02,100,0.005,4,0,263500
42,1,0.02,100,0.0025,2,0,279100
43,0,0.02,100,0.02,5,0,298200
43,0,0.02,100,0.01,3,0,287300
43,0,0.02,100,0.005,6,0,288950
43,0,0.02,100,0.0025,5,0,287300
44,1,0.02,100,0.02,2,0,228850
44,1,0.02,100,0.01,3,0,268150
44,1,0.02,100,0.005,3,0,267450
44,1,0.02,100,0.0025,3,0,266950
45,2,0.02,100,0.02,3,0,265000
45,2,0.02,100,0.01,2,0,264450
45,2,0.02,100,0.005,2,0,264000
45,2,0.02,100,0.0025,3,0,223000
46,2,0.02,100,0.02,1,0,477400
46,2,0.02,100,0.01,6,0,259850
46,2,0.02,100,0.005,6,0,259500
46,2,0.02,100,0.0025,5,0,259000
47,2,0.02,100,0.02,4,0,340650
47,2,0.02,100,0.01,4,0,385200
47,2,0.02,100,0.005,4,0,384400
47,2,0.02,100,0.0025,7,0,384000
48,2,0.02,100,0.02,1,0,483500
48,2,0.02,100,0.01,1,0,482400
48,2,0.02,100,0.005,3,0,481700
48,2,0.02,100,0.0025,1,0,482450
49,3,0.02,100,0.02,2,0,370400
49,3,0.02,100,0.01,2,0,445300
49,3,0.02,100,0.005,1,0,369650
49,3,0.02,100,0.0025,6,0,369500
50,2,0.02,100,0.02,3,0,394550
50,2,0.02,100,0.01,7,0,321650
50,2,0.02,100,0.005,5,0,301150
50,2,0.02,100,0.0025,5,0,301000
51,3,0.02,100,0.02,2,0,342850
51,3,0.02,100,0.01,6,0,341950
51,3,0.02,100,0.005,6,0,341950
51,3,0.02,100,0.0025,6,0,341500
52,0,0.02,100,0.02,1,0,224950
52,0,0.02,100,0.01,1,0,222950
52,0,0.02,100,0.005,1,0,222500
52,0,0.02,100,0.0025,5,0,222500
53,2,0.02,100,0.02,3,0,507300
53,2,0.02,100,0.01,3,0,396050
53,2,0.02,100,0.005,3,0,394850
53,2,0.02,100,0.0025,6,0,395050
54,3,0.02,100,0.02,1,0,320350
54,3,0.02,100,0.01,1,0,319400
54,3,0.02,100,0.005,1,0,339150
54,3,0.02,100,0.0025,1,0,318400
55,3,0.02,100,0.02,1,0,350900
55,3,0.02,100,0.01,1,0,350200
55,3,0.02,100,0.005,1,0,350450
55,3,0.02,100,0.0025,1,0,349750
56,2,0.02,100,0.02,1,0,434050
56,2,0.02,100,0.01,1,0,434700
56,2,0.02,100,0.005,1,0,434250
56,2,0.02,100,0.0025,1,0,433450
57,1,0.02,100,0.02,3,0,279350
57,1,0.02,100,0.01,3,0,278150
57,1,0.02,100,0.005,3,0,277800
57,1,0.02,100,0.0025,3,0,277000
58,3,0.02,100,0.02,1,0,337400
58,3,0.02,100,0.01,1,0,335550
58,3,0.02,100,0.005,1,0,335000
58,3,0.02,100,0.0025,1,0,335000
59,3,0.02,100,0.02,1,0,333500
59,3,0.02,100,0.01,2,0,331700
59,3,0.02,100,0.005,6,0,330600
59,3,0.02,100,0.0025,5,0,265900
60,3,0.02,100,0.02,2,0,448550
60,3,0.02,100,0.01,7,0,448250
60,3,0.02,100,0.005,5,0,447750
60,3,0.02,100,0.0025,7,0,447800
61,0,0.02,100,0.02,2,0,451350
61,0,0.02,100,0.01,1,0,448100
61,0,0.02,100,0.005,1,0,488300
61,0,0.02,100,0.0025,1,0,487500
62,2,0.02,100,0.02,2,0,354850
62,2,0.02,100,0.01,5,0,354300
62,2,0.02,100,0.005,5,0,353500
62,2,0.02,100,0.0025,5,0,353450
63,1,0.02,100,0.02,2,0,240300
63,1,0.02,100,0.01,2,0,239400
63,1,0.02,100,0.005,2,0,238500
63,1,0.02,100,0.0025,5,0,284600
64,3,0.02,100,0.02,3,0,467100
64,3,0.02,100,0.01,3,0,317050
64,3,0.02,100,0.005,3,0,316600
64,3,0.02,100,0.0025,3,0,316600
65,0,0.02,100,0.02,2,0,306500
65,0,0.02,100,0.01,2,0,305250
65,0,0.02,100,0.005,3,0,309100
65,0,0.02,100,0.0025,2,0,218400
66,2,0.02,100,0.02,2,0,388100
66,2,0.02,100,0.01,5,0,386900
66,2,0.02,100,0.005,5,0,386550
66,2,0.02,100,0.0025,5,0,385500
67,0,0.02,100,0.02,3,0,372500
67,0,0.02,100,0.01,5,0,370800
67,0,0.02,100,0.005,4,0,370100
67,0,0.02,100,0.0025,3,0,369850
68,2,0.02,100,0.02,2,0,426100
68,2,0.02,100,0.01,2,0,424850
68,2,0.02,100,0.005,6,0,424550
68,2,0.02,100,0.0025,6,0,424550
69,0,0.02,100,0.02,4,0,314900
69,0,0.02,100,0.01,4,0,314400
69,0,0.02,100,0.005,4,0,313650
69,0,0.02,100,0.0025,3,0,313500
70,1,0.02,100,0.02,2,0,270200
70,1,0.02,100,0.01,2,0,268100
70,1,0.02,100,0.005,3,0,269900
70,1,0.02,100,0.0025,3,0,269850
71,2,0.02,100,0.02,1,0,404100
71,2,0.02,100,0.01,2,0,403400
71,2,0.02,100,0.005,1,0,423750
71,2,0.02,100,0.0025,1,0,423500
72,2,0.02,100,0.02,2,0,402500
72,2,0.02,100,0.01,3,0,402950
72,2,0.02,100,0.005,7,0,402950
72,2,0.02,100,0.0025,6,0,401500
73,1,0.02,100,0.02,3,0,331950
73,1,0.02,100,0.01,3,0,330950
73,1,0.02,100,0.005,3,0,329850
73,1,0.02,100,0.0025,3,0,329850
74,0,0.02,100,0.02,4,0,548150
74,0,0.02,100,0.01,3,0,397800
74,0,0.02,100,0.005,3,0,546450
74,0,0.02,100,0.0025,3,0,545950
75,1,0.02,100,0.02,6,0,349800
75,1,0.02,100,0.01,6,0,348650
75,1,0.02,100,0.005,6,0,347150
75,1,0.02,100,0.0025,6,0,346750
76,2,0.02,100,0.02,,1,0
76,2,0.02,100,0.01,,1,0
76,2,0.02,100,0.005,,1,0
76,2,0.02,100,0.0025,,1,0
77,2,0.02,100,0.02,2,0,237700
77,2,0.02,100,0.01,4,0,236700
77,2,0.02,100,0.005,4,0,235450
77,2,0.02,100,0.0025,4,0,235400
78,0,0.02,100,0.02,1,0,384350
78,0,0.02,100,0.01,2,0,383400
78,0,0.02,100,0.005,2,0,382600
78,0,0.02,100,0.0025,3,0,382000
79,0,0.02,100,0.02,6,0,375850
79,0,0.02,100,0.01,6,0,375650
79,0,0.02,100,0.005,7,0,375450
79,0,0.02,100,0.0025,6,0,386800
80,1,0.02,100,0.02,1,0,780050
80,1,0.02,100,0.01,1,0,778100
80,1,0.02,100,0.005,1,0,776800
80,1,0.02,100,0.0025,6,0,776050
81,3,0.02,100,0.02,2,0,458050
81,3,0.02,100,0.01,2,0,456600
81,3,0.02,100,0.005,2,0,457350
81,3,0.02,100,0.0025,2,0,456950
82,3,0.02,100,0.02,1,0,330900
82,3,0.02,100,0.01,2,0,330250
82,3,0.02,100,0.005,3,0,341150
82,3,0.02,100,0.0025,3,0,348450
83,1,0.02,100,0.02,3,0,353000
83,1,0.02,100,0.01,1,0,352800
83,1,0.02,100,0.005,7,0,244350
83,1,0.02,100,0.0025,5,0,256100
84,1,0.02,100,0.02,4,0,445250
84,1,0.02,100,0.01,5,0,444250
84,1,0.02,100,0.005,4,0,442900
84,1,0.02,100,0.0025,3,0,442500
85,1,0.02,100,0.02,3,0,370850
85,1,0.02,100,0.01,3,0,369350
85,1,0.02,100,0.005,2,0,368900
85,1,0.02,100,0.0025,2,0,368500
86,2,0.02,100,0.02,1,0,334200
86,2,0.02,100,0.01,1,0,481400
86,2,0.02,100,0.005,4,0,480000
86,2,0.02,100,0.0025,3,0,480000
87,2,0.02,100,0.02,1,0,427750
87,2,0.02,100,0.01,1,0,426750
87,2,0.02,100,0.005,1,0,425900
87,2,0.02,100,0.0025,2,0,386000
88,2,0.02,100,0.02,2,0,339250
88,2,0.02,100,0.01,10,0,339050
88,2,0.02,100,0.005,9,0,338550
88,2,0.02,100,0.0025,9,0,338550
89,0,0.02,100,0.02,3,0,321250
89,0,0.02,100,0.01,3,0,319800
89,0,0.02,100,0.005,2,0,319950
89,0,0.02,100,0.0025,2,0,319200
90,1,0.02,100,0.02,1,0,256850
90,1,0.02,100,0.01,1,0,254900
90,1,0.02,100,0.005,1,0,254000
90,1,0.02,100,0.0025,1,0,239950
91,2,0.02,100,0.02,1,0,388700
91,2,0.02,100,0.01,3,0,346200
91,2,0.02,100,0.005,4,0,345950
91,2,0.02,100,0.0025,4,0,345950
92,2,0.02,100,0.02,5,0,340550
92,2,0.02,100,0.01,7,0,352650
92,2,0.02,100,0.005,7,0,344350
92,2,0.02,100,0.0025,6,0,344000
93,0,0.02,100,0.02,4,0,246900
93,0,0.02,100,0.01,4,0,246500
93,0,0.02,100,0.005,5,0,245900
93,0,0.02,100,0.0025,5,0,245500
94,2,0.02,100,0.02,2,0,487600
94,2,0.02,100,0.01,2,0,486300
94,2,0.02,100,0.005,2,0,485500
94,2,0.02,100,0.0025,6,0,486000
95,2,0.02,100,0.02,1,0,448150
95,2,0.02,100,0.01,1,0,446600
95,2,0.02,100,0.005,1,0,446600
95,2,0.02,100,0.0025,1,0,446500
96,2,0.02,100,0.02,1,0,480250
96,2,0.02,100,0.01,1,0,478400
96,2,0.02,100,0.005,1,0,477950
96,2,0.02,100,0.0025,1,0,477500
97,0,0.02,100,0.02,1,0,336850
97,0,0.02,100,0.01,1,0,355300
97,0,0.02,100,0.005,2,0,354250
97,0,0.02,100,0.0025,2,0,353850
100,1,0.02,100,0.02,1,0,417000
100,1,0.02,100,0.01,5,0,416000
100,1,0.02,100,0.005,5,0,414900
100,1,0.02,100,0.0025,6,0,414500
101,3,0.02,100,0.02,,1,0
101,3,0.02,100,0.01,,1,0
101,3,0.02,100,0.005,,1,0
101,3,0.02,100,0.0025,,1,0
102,2,0.02,100,0.02,5,0,353500
102,2,0.02,100,0.01,5,0,351250
102,2,0.02,100,0.005,3,0,434750
102,2,0.02,100,0.0025,5,0,435050
103,0,0.02,100,0.02,3,0,364100
103,0,0.02,100,0.01,3,0,361950
103,0,0.02,100,0.005,3,0,287800
103,0,0.02,100,0.0025,7,0,287750
104,2,0.02,100,0.02,6,0,304800
104,2,0.02,100,0.01,6,0,304000
104,2,0.02,100,0.005,5,0,303150
104,2,0.02,100,0.0025,3,0,302150
105,3,0.02,100,0.02,4,0,433200
105,3,0.02,100,0.01,4,0,432900
105,3,0.02,100,0.005,1,0,597650
105,3,0.02,100,0.0025,4,0,412000
106,0,0.02,100,0.02,3,0,353500
106,0,0.02,100,0.01,5,0,352500
106,0,0.02,100,0.005,4,0,351500
106,0,0.02,100,0.0025,7,0,362000
107,0,0.02,100,0.02,3,0,381200
107,0,0.02,100,0.01,3,0,379900
107,0,0.02,100,0.005,2,0,363200
107,0,0.02,100,0.0025,2,0,362500
108,2,0.02,100,0.02,1,0,388050
108,2,0.02,100,0.01,1,0,386550
108,2,0.02,100,0.005,5,0,385850
108,2,0.02,100,0.0025,2,0,385750
109,1,0.02,100,0.02,6,0,258550
109,1,0.02,100,0.01,3,0,257550
109,1,0.02,100,0.005,3,0,332550
109,1,0.02,100,0.0025,3,0,332500
110,2,0.02,100,0.02,2,0,436750
110,2,0.02,100,0.01,6,0,435850
110,2,0.02,100,0.005,6,0,436000
110,2,0.02,100,0.0025,8,0,434500
111,3,0.02,100,0.02,2,0,399200
111,3,0.02,100,0.01,4,0,381450
111,3,0.02,100,0.005,2,0,398250
111,3,0.02,100,0.0025,2,0,397900
112,1,0.02,100,0.02,2,0,255250
112,1,0.02,100,0.01,2,0,253950
112,1,0.02,100,0.005,6,0,253950
112,1,0.02,100,0.0025,9,0,253500
113,2,0.02,100,0.02,2,0,440500
113,2,0.02,100,0.01,1,0,439500
113,2,0.02,100,0.005,6,0,439050
113,2,0.02,100,0.0025,5,0,438500
114,0,0.02,100,0.02,5,0,389900
114,0,0.02,100,0.01,6,0,388650
114,0,0.02,100,0.005,7,0,387450
114,0,0.02,100,0.0025,8,0,387000
115,3,0.02,100,0.02,1,0,309500
115,3,0.02,100,0.01,1,0,306900
115,3,0.02,100,0.005,1,0,306050
115,3,0.02,100,0.0025,1,0,306000
116,2,0.02,100,0.02,2,0,403350
116,2,0.02,100,0.01,1,0,401300
116,2,0.02,100,0.005,5,0,400850
116,2,0.02,100,0.0025,1,0,401450
117,0,0.02,100,0.02,3,0,371000
117,0,0.02,100,0.01,3,0,370100
117,0,0.02,100,0.005,3,0,370100
117,0,0.02,100,0.0025,3,0,369950
118,0,0.02,100,0.02,1,0,176700
118,0,0.02,100,0.01,,1,0
118,0,0.02,100,0.005,,1,0
118,0,0.02,100,0.0025,,1,0
119,3,0.02,100,0.02,1,0,309100
119,3,0.02,100,0.01,1,0,307800
119,3,0.02,100,0.005,4,0,307800
119,3,0.02,100,0.0025,4,0,274500
120,3,0.02,100,0.02,1,0,416300
120,3,0.02,100,0.01,1,0,415900
120,3,0.02,100,0.005,1,0,415250
120,3,0.02,100,0.0025,6,0,414750
121,3,0.02,100,0.02,1,0,394700
