seed,a_star,eps,vis,fr,rank,dropped,total_tries
41,0,0.05,100,0.02,3,0,63000
41,0,0.05,100,0.01,5,0,63000
41,0,0.05,100,0.005,5,0,62000
41,0,0.05,100,0.0025,5,0,62000
42,1,0.05,100,0.02,4,0,46200
42,1,0.05,100,0.01,2,0,46200
42,1,0.05,100,0.005,2,0,46200
42,1,0.05,100,0.0025,3,0,49950
43,0,0.05,100,0.02,5,0,52000
43,0,0.05,100,0.01,3,0,50850
43,0,0.05,100,0.005,7,0,51000
43,0,0.05,100,0.0025,5,0,50500
44,1,0.05,100,0.02,2,0,40000
44,1,0.05,100,0.01,1,0,46500
44,1,0.05,100,0.005,2,0,46500
44,1,0.05,100,0.0025,4,0,46500
45,2,0.05,100,0.02,2,0,45500
45,2,0.05,100,0.01,2,0,45500
45,2,0.05,100,0.005,5,0,45500
45,2,0.05,100,0.0025,5,0,39000
46,2,0.05,100,0.02,1,0,85050
46,2,0.05,100,0.01,5,0,46550
46,2,0.05,100,0.005,5,0,46550
46,2,0.05,100,0.0025,4,0,46500
47,2,0.05,100,0.02,3,0,59900
47,2,0.05,100,0.01,6,0,67450
47,2,0.05,100,0.005,6,0,67400
47,2,0.05,100,0.0025,9,0,67450
48,2,0.05,100,0.02,1,0,83600
48,2,0.05,100,0.01,1,0,83300
48,2,0.05,100,0.005,2,0,83500
48,2,0.05,100,0.0025,1,0,84000
49,3,0.05,100,0.02,2,0,65500
49,3,0.05,100,0.01,2,0,78500
49,3,0.05,100,0.005,6,0,65500
49,3,0.05,100,0.0025,10,0,65500
50,2,0.05,100,0.02,4,0,66050
50,2,0.05,100,0.01,6,0,53550
50,2,0.05,100,0.005,5,0,51000
50,2,0.05,100,0.0025,8,0,51000
51,3,0.05,100,0.02,2,0,61500
51,3,0.05,100,0.01,6,0,61500
51,3,0.05,100,0.005,5,0,61500
51,3,0.05,100,0.0025,4,0,61500
52,0,0.05,100,0.02,1,0,41500
52,0,0.05,100,0.01,1,0,41500
52,0,0.05,100,0.005,1,0,41500
52,0,0.05,100,0.0025,4,0,41500
53,2,0.05,100,0.02,3,0,91050
53,2,0.05,100,0.01,2,0,72000
53,2,0.05,100,0.005,2,0,72000
53,2,0.05,100,0.0025,5,0,72000
54,3,0.05,100,0.02,2,0,56250
54,3,0.05,100,0.01,3,0,55950
54,3,0.05,100,0.005,1,0,58500
54,3,0.05,100,0.0025,2,0,55500
55,3,0.05,100,0.02,1,0,61000
55,3,0.05,100,0.01,4,0,61000
55,3,0.05,100,0.005,1,0,61000
55,3,0.05,100,0.0025,4,0,61000
56,2,0.05,100,0.02,3,0,75000
56,2,0.05,100,0.01,1,0,75450
56,2,0.05,100,0.005,1,0,75500
56,2,0.05,100,0.0025,3,0,75000
57,1,0.05,100,0.02,3,0,50300
57,1,0.05,100,0.01,3,0,49900
57,1,0.05,100,0.005,2,0,49900
57,1,0.05,100,0.0025,2,0,49900
58,3,0.05,100,0.02,1,0,60500
58,3,0.05,100,0.01,1,0,60500
58,3,0.05,100,0.005,1,0,60500
58,3,0.05,100,0.0025,1,0,60500
59,3,0.05,100,0.02,1,0,59000
59,3,0.05,100,0.01,2,0,59000
59,3,0.05,100,0.005,6,0,59000
59,3,0.05,100,0.0025,6,0,47500
60,3,0.05,100,0.02,1,0,79000
60,3,0.05,100,0.01,5,0,78500
60,3,0.05,100,0.005,5,0,79000
60,3,0.05,100,0.0025,10,0,78500
61,0,0.05,100,0.02,2,0,80400
61,0,0.05,100,0.01,1,0,80400
61,0,0.05,100,0.005,3,0,87000
61,0,0.05,100,0.0025,2,0,87000
62,2,0.05,100,0.02,2,0,62950
62,2,0.05,100,0.01,4,0,62950
62,2,0.05,100,0.005,4,0,62950
62,2,0.05,100,0.0025,3,0,62500
63,1,0.05,100,0.02,2,0,42950
63,1,0.05,100,0.01,2,0,42500
63,1,0.05,100,0.005,6,0,42500
63,1,0.05,100,0.0025,7,0,48550
64,3,0.05,100,0.02,3,0,311200
64,3,0.05,100,0.01,3,0,55500
64,3,0.05,100,0.005,3,0,55500
64,3,0.05,100,0.0025,5,0,55500
65,0,0.05,100,0.02,2,0,53000
65,0,0.05,100,0.01,2,0,52200
65,0,0.05,100,0.005,5,0,54200
65,0,0.05,100,0.0025,4,0,37500
66,2,0.05,100,0.02,2,0,69950
66,2,0.05,100,0.01,5,0,69950
66,2,0.05,100,0.005,5,0,69950
66,2,0.05,100,0.0025,5,0,69500
67,0,0.05,100,0.02,3,0,63900
67,0,0.05,100,0.01,4,0,63550
67,0,0.05,100,0.005,3,0,63500
67,0,0.05,100,0.0025,3,0,63500
68,2,0.05,100,0.02,2,0,75400
68,2,0.05,100,0.01,2,0,75000
68,2,0.05,100,0.005,6,0,75000
68,2,0.05,100,0.0025,6,0,75000
69,0,0.05,100,0.02,4,0,57000
69,0,0.05,100,0.01,5,0,57000
69,0,0.05,100,0.005,6,0,57000
69,0,0.05,100,0.0025,6,0,57000
70,1,0.05,100,0.02,2,0,46000
70,1,0.05,100,0.01,5,0,46000
70,1,0.05,100,0.005,5,0,46000
70,1,0.05,100,0.0025,5,0,46000
71,2,0.05,100,0.02,1,0,70000
71,2,0.05,100,0.01,2,0,70000
71,2,0.05,100,0.005,2,0,74000
71,2,0.05,100,0.0025,3,0,74000
72,2,0.05,100,0.02,2,0,71000
72,2,0.05,100,0.01,3,0,71000
72,2,0.05,100,0.005,7,0,71000
72,2,0.05,100,0.0025,6,0,71000
73,1,0.05,100,0.02,3,0,58600
73,1,0.05,100,0.01,3,0,59000
73,1,0.05,100,0.005,3,0,59000
73,1,0.05,100,0.0025,5,0,59000
74,0,0.05,100,0.02,3,0,92350
74,0,0.05,100,0.01,3,0,65500
74,0,0.05,100,0.005,4,0,92000
74,0,0.05,100,0.0025,3,0,92000
75,1,0.05,100,0.02,6,0,60400
75,1,0.05,100,0.01,6,0,60400
75,1,0.05,100,0.005,8,0,60550
75,1,0.05,100,0.0025,4,0,60000
76,2,0.05,100,0.02,,1,0
76,2,0.05,100,0.01,,1,0
76,2,0.05,100,0.005,,1,0
76,2,0.05,100,0.0025,,1,0
77,2,0.05,100,0.02,2,0,42500
77,2,0.05,100,0.01,4,0,42500
77,2,0.05,100,0.005,4,0,42500
77,2,0.05,100,0.0025,4,0,42500
78,0,0.05,100,0.02,1,0,69950
78,0,0.05,100,0.01,2,0,69900
78,0,0.05,100,0.005,2,0,69500
78,0,0.05,100,0.0025,3,0,69500
79,0,0.05,100,0.02,6,0,64950
79,0,0.05,100,0.01,6,0,64950
79,0,0.05,100,0.005,6,0,64950
79,0,0.05,100,0.0025,7,0,69000
80,1,0.05,100,0.02,1,0,134950
80,1,0.05,100,0.01,1,0,134950
80,1,0.05,100,0.005,1,0,134550
80,1,0.05,100,0.0025,6,0,134550
81,3,0.05,100,0.02,2,0,79500
81,3,0.05,100,0.01,2,0,79500
81,3,0.05,100,0.005,2,0,80000
81,3,0.05,100,0.0025,2,0,80000
82,3,0.05,100,0.02,1,0,59350
82,3,0.05,100,0.01,2,0,59050
82,3,0.05,100,0.005,2,0,60000
82,3,0.05,100,0.0025,5,0,61500
83,1,0.05,100,0.02,4,0,61500
83,1,0.05,100,0.01,1,0,60950
83,1,0.05,100,0.005,10,0,42500
83,1,0.05,100,0.0025,10,0,45000
84,1,0.05,100,0.02,6,0,77550
84,1,0.05,100,0.01,5,0,77550
84,1,0.05,100,0.005,3,0,77550
84,1,0.05,100,0.0025,3,0,77500
85,1,0.05,100,0.02,2,0,65300
85,1,0.05,100,0.01,3,0,65250
85,1,0.05,100,0.005,2,0,64500
85,1,0.05,100,0.0025,4,0,64500
86,2,0.05,100,0.02,1,0,58500
86,2,0.05,100,0.01,1,0,84950
86,2,0.05,100,0.005,4,0,84950
86,2,0.05,100,0.0025,3,0,85000
87,2,0.05,100,0.02,1,0,72500
87,2,0.05,100,0.01,3,0,72500
87,2,0.05,100,0.005,1,0,72500
87,2,0.05,100,0.0025,5,0,65000
88,2,0.05,100,0.02,2,0,61000
88,2,0.05,100,0.01,9,0,61000
88,2,0.05,100,0.005,9,0,61000
88,2,0.05,100,0.0025,9,0,61000
89,0,0.05,100,0.02,5,0,55750
89,0,0.05,100,0.01,2,0,55000
89,0,0.05,100,0.005,3,0,55500
89,0,0.05,100,0.0025,3,0,55500
90,1,0.05,100,0.02,1,0,48400
90,1,0.05,100,0.01,1,0,47900
90,1,0.05,100,0.005,1,0,47500
90,1,0.05,100,0.0025,1,0,43500
91,2,0.05,100,0.02,1,0,67400
91,2,0.05,100,0.01,3,0,59950
91,2,0.05,100,0.005,3,0,59950
91,2,0.05,100,0.0025,3,0,59500
92,2,0.05,100,0.02,3,0,60200
92,2,0.05,100,0.01,6,0,61200
92,2,0.05,100,0.005,7,0,60150
92,2,0.05,100,0.0025,6,0,60150
93,0,0.05,100,0.02,5,0,43600
93,0,0.05,100,0.01,1,0,43600
93,0,0.05,100,0.005,5,0,43600
93,0,0.05,100,0.0025,2,0,43000
94,2,0.05,100,0.02,2,0,87000
94,2,0.05,100,0.01,2,0,87000
94,2,0.05,100,0.005,2,0,87000
94,2,0.05,100,0.0025,5,0,87000
95,2,0.05,100,0.02,1,0,75750
95,2,0.05,100,0.01,1,0,75500
95,2,0.05,100,0.005,2,0,75500
95,2,0.05,100,0.0025,1,0,75500
96,2,0.05,100,0.02,1,0,84500
96,2,0.05,100,0.01,1,0,84500
96,2,0.05,100,0.005,1,0,84500
96,2,0.05,100,0.0025,1,0,84500
97,0,0.05,100,0.02,1,0,60400
97,0,0.05,100,0.01,1,0,63000
97,0,0.05,100,0.005,2,0,63000
97,0,0.05,100,0.0025,2,0,63000
100,1,0.05,100,0.02,1,0,74450
100,1,0.05,100,0.01,6,0,74000
100,1,0.05,100,0.005,5,0,74000
100,1,0.05,100,0.0025,5,0,74000
101,3,0.05,100,0.02,,1,0
101,3,0.05,100,0.01,,1,0
101,3,0.05,100,0.005,,1,0
101,3,0.05,100,0.0025,,1,0
102,2,0.05,100,0.02,5,0,61950
102,2,0.05,100,0.01,5,0,62000
102,2,0.05,100,0.005,5,0,76000
102,2,0.05,100,0.0025,4,0,77000
103,0,0.05,100,0.02,3,0,63250
103,0,0.05,100,0.01,3,0,63250
103,0,0.05,100,0.005,3,0,50000
103,0,0.05,100,0.0025,10,0,50000
104,2,0.05,100,0.02,5,0,53200
104,2,0.05,100,0.01,5,0,53000
104,2,0.05,100,0.005,5,0,53000
104,2,0.05,100,0.0025,4,0,53000
105,3,0.05,100,0.02,4,0,77000
105,3,0.05,100,0.01,4,0,77000
105,3,0.05,100,0.005,1,0,106000
105,3,0.05,100,0.0025,4,0,74500
106,0,0.05,100,0.02,3,0,63500
106,0,0.05,100,0.01,5,0,63500
106,0,0.05,100,0.005,4,0,63050
106,0,0.05,100,0.0025,7,0,64000
107,0,0.05,100,0.02,3,0,66450
107,0,0.05,100,0.01,3,0,66450
107,0,0.05,100,0.005,4,0,63850
107,0,0.05,100,0.0025,3,0,63500
108,2,0.05,100,0.02,1,0,67000
108,2,0.05,100,0.01,1,0,67000
108,2,0.05,100,0.005,5,0,67000
108,2,0.05,100,0.0025,5,0,67000
109,1,0.05,100,0.02,6,0,45100
109,1,0.05,100,0.01,6,0,45100
109,1,0.05,100,0.005,3,0,58050
109,1,0.05,100,0.0025,3,0,58050
110,2,0.05,100,0.02,2,0,78000
110,2,0.05,100,0.01,6,0,78000
110,2,0.05,100,0.005,5,0,79500
110,2,0.05,100,0.0025,8,0,78000
111,3,0.05,100,0.02,2,0,71600
111,3,0.05,100,0.01,4,0,68050
111,3,0.05,100,0.005,2,0,71600
111,3,0.05,100,0.0025,2,0,71550
112,1,0.05,100,0.02,2,0,46000
112,1,0.05,100,0.01,2,0,46000
112,1,0.05,100,0.005,6,0,46000
112,1,0.05,100,0.0025,9,0,46000
113,2,0.05,100,0.02,2,0,77000
113,2,0.05,100,0.01,1,0,77000
113,2,0.05,100,0.005,5,0,77000
113,2,0.05,100,0.0025,5,0,77000
114,0,0.05,100,0.02,6,0,67100
114,0,0.05,100,0.01,6,0,67100
114,0,0.05,100,0.005,9,0,67100
114,0,0.05,100,0.0025,10,0,67500
115,3,0.05,100,0.02,1,0,54600
115,3,0.05,100,0.01,1,0,54550
115,3,0.05,100,0.005,1,0,54500
115,3,0.05,100,0.0025,1,0,54500
116,2,0.05,100,0.02,1,0,70550
116,2,0.05,100,0.01,1,0,70050
116,2,0.05,100,0.005,4,0,70100
116,2,0.05,100,0.0025,1,0,70550
117,0,0.05,100,0.02,3,0,64350
117,0,0.05,100,0.01,3,0,64350
117,0,0.05,100,0.005,7,0,64350
117,0,0.05,100,0.0025,7,0,64000
118,0,0.05,100,0.02,1,0,34050
118,0,0.05,100,0.01,,1,0
118,0,0.05,100,0.005,,1,0
118,0,0.05,100,0.0025,,1,0
119,3,0.05,100,0.02,1,0,54250
119,3,0.05,100,0.01,4,0,53550
119,3,0.05,100,0.005,7,0,53550
119,3,0.05,100,0.0025,4,0,48500
120,3,0.05,100,0.02,1,0,72000
120,3,0.05,100,0.01,1,0,71500
120,3,0.05,100,0.005,1,0,71500
120,3,0.05,100,0.0025,1,0,72000
121,3,0.05,100,0.02,1,0,69500
121,3,0.05,100,0.01,1,0,69500
121,3,0.05,100,0.005,4,0,69500
121,3,0.05,100,0.0025,4,0,69500
122,2,0.05,100,0.02,2,0,77000
122,2,0.05,100,0.01,4,0,77000
