seed,a_star,eps,vis,fr,rank,dropped,total_tries
33,3,0.07,100,0.005,6,0,92000
33,3,0.07,100,0.0025,6,0,92000
34,3,0.07,100,0.02,1,0,34500
34,3,0.07,100,0.01,1,0,34500
34,3,0.07,100,0.005,1,0,34500
34,3,0.07,100,0.0025,4,0,34500
35,2,0.07,100,0.02,2,0,39500
35,2,0.07,100,0.01,1,0,39500
35,2,0.07,100,0.005,1,0,39500
35,2,0.07,100,0.0025,3,0,39500
36,1,0.07,100,0.02,1,0,32000
36,1,0.07,100,0.01,1,0,32000
36,1,0.07,100,0.005,1,0,32000
36,1,0.07,100,0.0025,3,0,32000
37,3,0.07,100,0.02,1,0,56000
37,3,0.07,100,0.01,1,0,42900
37,3,0.07,100,0.005,2,0,42500
37,3,0.07,100,0.0025,2,0,42500
38,1,0.07,100,0.02,1,0,32450
38,1,0.07,100,0.01,1,0,32000
38,1,0.07,100,0.005,1,0,32000
38,1,0.07,100,0.0025,1,0,32000
39,0,0.07,100,0.02,2,0,39950
39,0,0.07,100,0.01,3,0,39950
39,0,0.07,100,0.005,6,0,51500
39,0,0.07,100,0.0025,2,0,39500
40,3,0.07,100,0.02,1,0,22000
40,3,0.07,100,0.01,1,0,22000
40,3,0.07,100,0.005,1,0,22000
40,3,0.07,100,0.0025,1,0,22000
