seed,a_star,eps,vis,fr,rank,dropped,total_tries
41,0,0.04,100,0.02,3,0,95000
41,0,0.04,100,0.01,5,0,95000
41,0,0.04,100,0.005,5,0,92500
41,0,0.04,100,0.0025,5,0,92500
42,1,0.04,100,0.02,3,0,70400
42,1,0.04,100,0.01,2,0,70000
42,1,0.04,100,0.005,2,0,70000
42,1,0.04,100,0.0025,2,0,74500
43,0,0.04,100,0.02,5,0,79400
43,0,0.04,100,0.01,3,0,77450
43,0,0.04,100,0.005,6,0,77900
43,0,0.04,100,0.0025,5,0,77450
44,1,0.04,100,0.02,2,0,60500
44,1,0.04,100,0.01,2,0,69500
44,1,0.04,100,0.005,3,0,69500
44,1,0.04,100,0.0025,4,0,69500
45,2,0.04,100,0.02,1,0,69750
45,2,0.04,100,0.01,3,0,69000
45,2,0.04,100,0.005,5,0,69000
45,2,0.04,100,0.0025,5,0,59450
46,2,0.04,100,0.02,1,0,127050
46,2,0.04,100,0.01,5,0,70900
46,2,0.04,100,0.005,6,0,70850
46,2,0.04,100,0.0025,5,0,70450
47,2,0.04,100,0.02,5,0,88500
47,2,0.04,100,0.01,5,0,100450
47,2,0.04,100,0.005,4,0,100000
47,2,0.04,100,0.0025,9,0,100000
48,2,0.04,100,0.02,1,0,125950
48,2,0.04,100,0.01,1,0,125500
48,2,0.04,100,0.005,2,0,125500
48,2,0.04,100,0.0025,1,0,125500
49,3,0.04,100,0.02,2,0,98000
49,3,0.04,100,0.01,2,0,117000
49,3,0.04,100,0.005,1,0,98000
49,3,0.04,100,0.0025,7,0,98000
50,2,0.04,100,0.02,3,0,101700
50,2,0.04,100,0.01,6,0,83000
50,2,0.04,100,0.005,5,0,77500
50,2,0.04,100,0.0025,8,0,77500
51,3,0.04,100,0.02,2,0,91500
51,3,0.04,100,0.01,6,0,91500
51,3,0.04,100,0.005,5,0,91500
51,3,0.04,100,0.0025,4,0,91500
52,0,0.04,100,0.02,1,0,61450
52,0,0.04,100,0.01,1,0,61000
52,0,0.04,100,0.005,1,0,61000
52,0,0.04,100,0.0025,4,0,61000
53,2,0.04,100,0.02,3,0,132850
53,2,0.04,100,0.01,2,0,106200
53,2,0.04,100,0.005,2,0,106250
53,2,0.04,100,0.0025,5,0,105750
54,3,0.04,100,0.02,1,0,84950
54,3,0.04,100,0.01,1,0,84950
54,3,0.04,100,0.005,2,0,89000
54,3,0.04,100,0.0025,1,0,84500
55,3,0.04,100,0.02,2,0,90750
55,3,0.04,100,0.01,1,0,90500
55,3,0.04,100,0.005,1,0,90000
55,3,0.04,100,0.0025,4,0,90500
56,2,0.04,100,0.02,3,0,113500
56,2,0.04,100,0.01,1,0,113500
56,2,0.04,100,0.005,1,0,113500
56,2,0.04,100,0.0025,3,0,113000
57,1,0.04,100,0.02,3,0,73900
57,1,0.04,100,0.01,3,0,73900
57,1,0.04,100,0.005,2,0,73900
57,1,0.04,100,0.0025,2,0,73900
58,3,0.04,100,0.02,1,0,89950
58,3,0.04,100,0.01,1,0,89900
58,3,0.04,100,0.005,1,0,89400
58,3,0.04,100,0.0025,1,0,89400
59,3,0.04,100,0.02,1,0,88050
59,3,0.04,100,0.01,2,0,88050
59,3,0.04,100,0.005,6,0,88050
59,3,0.04,100,0.0025,6,0,71000
60,3,0.04,100,0.02,1,0,118050
60,3,0.04,100,0.01,6,0,117950
60,3,0.04,100,0.005,5,0,118000
60,3,0.04,100,0.0025,10,0,117950
61,0,0.04,100,0.02,2,0,121200
61,0,0.04,100,0.01,1,0,120400
61,0,0.04,100,0.005,1,0,130000
61,0,0.04,100,0.0025,1,0,130000
62,2,0.04,100,0.02,2,0,94500
62,2,0.04,100,0.01,4,0,94500
62,2,0.04,100,0.005,4,0,94500
62,2,0.04,100,0.0025,3,0,94500
63,1,0.04,100,0.02,2,0,64700
63,1,0.04,100,0.01,2,0,64700
63,1,0.04,100,0.005,6,0,64500
63,1,0.04,100,0.0025,8,0,75000
64,3,0.04,100,0.02,3,0,329100
64,3,0.04,100,0.01,3,0,84450
64,3,0.04,100,0.005,3,0,84450
64,3,0.04,100,0.0025,5,0,84450
65,0,0.04,100,0.02,2,0,80350
65,0,0.04,100,0.01,2,0,80350
65,0,0.04,100,0.005,2,0,81500
65,0,0.04,100,0.0025,2,0,57500
66,2,0.04,100,0.02,2,0,104000
66,2,0.04,100,0.01,5,0,104000
66,2,0.04,100,0.005,5,0,104000
66,2,0.04,100,0.0025,5,0,104000
67,0,0.04,100,0.02,3,0,97550
67,0,0.04,100,0.01,4,0,97550
67,0,0.04,100,0.005,4,0,97500
67,0,0.04,100,0.0025,4,0,97000
68,2,0.04,100,0.02,2,0,114500
68,2,0.04,100,0.01,2,0,114500
68,2,0.04,100,0.005,6,0,114450
68,2,0.04,100,0.0025,6,0,114000
69,0,0.04,100,0.02,4,0,85400
69,0,0.04,100,0.01,5,0,84950
69,0,0.04,100,0.005,6,0,84950
69,0,0.04,100,0.0025,5,0,84900
70,1,0.04,100,0.02,2,0,69950
70,1,0.04,100,0.01,3,0,69900
70,1,0.04,100,0.005,5,0,70000
70,1,0.04,100,0.0025,5,0,70000
71,2,0.04,100,0.02,1,0,106950
71,2,0.04,100,0.01,1,0,106950
71,2,0.04,100,0.005,2,0,112450
71,2,0.04,100,0.0025,1,0,112450
72,2,0.04,100,0.02,2,0,107450
72,2,0.04,100,0.01,3,0,107500
72,2,0.04,100,0.005,7,0,107500
72,2,0.04,100,0.0025,6,0,107000
73,1,0.04,100,0.02,3,0,88850
73,1,0.04,100,0.01,3,0,88850
73,1,0.04,100,0.005,3,0,88850
73,1,0.04,100,0.0025,3,0,88500
74,0,0.04,100,0.02,4,0,143550
74,0,0.04,100,0.01,4,0,104000
74,0,0.04,100,0.005,3,0,143500
74,0,0.04,100,0.0025,3,0,143500
75,1,0.04,100,0.02,5,0,93150
75,1,0.04,100,0.01,5,0,92750
75,1,0.04,100,0.005,7,0,92000
75,1,0.04,100,0.0025,5,0,92000
76,2,0.04,100,0.02,,1,0
76,2,0.04,100,0.01,,1,0
76,2,0.04,100,0.005,,1,0
76,2,0.04,100,0.0025,,1,0
77,2,0.04,100,0.02,2,0,61950
77,2,0.04,100,0.01,4,0,61850
77,2,0.04,100,0.005,4,0,61850
77,2,0.04,100,0.0025,4,0,61900
78,0,0.04,100,0.02,1,0,103850
78,0,0.04,100,0.01,3,0,103850
78,0,0.04,100,0.005,3,0,103500
78,0,0.04,100,0.0025,3,0,103500
79,0,0.04,100,0.02,7,0,99600
79,0,0.04,100,0.01,6,0,99150
79,0,0.04,100,0.005,8,0,98950
79,0,0.04,100,0.0025,7,0,103950
80,1,0.04,100,0.02,1,0,203800
80,1,0.04,100,0.01,1,0,202500
80,1,0.04,100,0.005,1,0,202500
80,1,0.04,100,0.0025,6,0,202050
81,3,0.04,100,0.02,2,0,119500
81,3,0.04,100,0.01,2,0,119500
81,3,0.04,100,0.005,2,0,120000
81,3,0.04,100,0.0025,2,0,120000
82,3,0.04,100,0.02,1,0,87850
82,3,0.04,100,0.01,3,0,87500
82,3,0.04,100,0.005,1,0,88550
82,3,0.04,100,0.0025,5,0,91000
83,1,0.04,100,0.02,3,0,93600
83,1,0.04,100,0.01,1,0,93200
83,1,0.04,100,0.005,8,0,63500
83,1,0.04,100,0.0025,10,0,67500
84,1,0.04,100,0.02,6,0,117000
84,1,0.04,100,0.01,5,0,117000
84,1,0.04,100,0.005,6,0,117350
84,1,0.04,100,0.0025,5,0,117350
85,1,0.04,100,0.02,2,0,99400
85,1,0.04,100,0.01,2,0,98900
85,1,0.04,100,0.005,2,0,99000
85,1,0.04,100,0.0025,2,0,99000
86,2,0.04,100,0.02,1,0,90400
86,2,0.04,100,0.01,1,0,128000
86,2,0.04,100,0.005,5,0,128000
86,2,0.04,100,0.0025,4,0,128000
87,2,0.04,100,0.02,1,0,111600
87,2,0.04,100,0.01,1,0,111000
87,2,0.04,100,0.005,1,0,111000
87,2,0.04,100,0.0025,2,0,100500
88,2,0.04,100,0.02,2,0,90500
88,2,0.04,100,0.01,9,0,90500
88,2,0.04,100,0.005,9,0,90500
88,2,0.04,100,0.0025,9,0,90500
89,0,0.04,100,0.02,3,0,85000
89,0,0.04,100,0.01,3,0,84650
89,0,0.04,100,0.005,1,0,84500
89,0,0.04,100,0.0025,2,0,84500
90,1,0.04,100,0.02,1,0,70500
90,1,0.04,100,0.01,1,0,70450
90,1,0.04,100,0.005,1,0,70450
90,1,0.04,100,0.0025,1,0,65000
91,2,0.04,100,0.02,2,0,102500
91,2,0.04,100,0.01,3,0,92250
91,2,0.04,100,0.005,3,0,92000
91,2,0.04,100,0.0025,4,0,92000
92,2,0.04,100,0.02,4,0,89200
92,2,0.04,100,0.01,7,0,91450
92,2,0.04,100,0.005,8,0,89500
92,2,0.04,100,0.0025,6,0,89500
93,0,0.04,100,0.02,5,0,66000
93,0,0.04,100,0.01,1,0,65000
93,0,0.04,100,0.005,5,0,65000
93,0,0.04,100,0.0025,2,0,65000
94,2,0.04,100,0.02,2,0,130500
94,2,0.04,100,0.01,2,0,130500
94,2,0.04,100,0.005,2,0,130500
94,2,0.04,100,0.0025,5,0,130500
95,2,0.04,100,0.02,1,0,117450
95,2,0.04,100,0.01,1,0,117000
95,2,0.04,100,0.005,1,0,117000
95,2,0.04,100,0.0025,1,0,117000
96,2,0.04,100,0.02,1,0,127000
96,2,0.04,100,0.01,1,0,127000
96,2,0.04,100,0.005,1,0,127000
96,2,0.04,100,0.0025,1,0,127000
97,0,0.04,100,0.02,1,0,88900
97,0,0.04,100,0.01,1,0,93500
97,0,0.04,100,0.005,2,0,93500
97,0,0.04,100,0.0025,2,0,93500
100,1,0.04,100,0.02,1,0,111100
100,1,0.04,100,0.01,5,0,111400
100,1,0.04,100,0.005,4,0,111000
100,1,0.04,100,0.0025,6,0,111000
101,3,0.04,100,0.02,,1,0
101,3,0.04,100,0.01,,1,0
101,3,0.04,100,0.005,,1,0
101,3,0.04,100,0.0025,,1,0
102,2,0.04,100,0.02,5,0,91850
102,2,0.04,100,0.01,5,0,91450
102,2,0.04,100,0.005,5,0,113400
102,2,0.04,100,0.0025,5,0,114000
103,0,0.04,100,0.02,3,0,93200
103,0,0.04,100,0.01,3,0,92850
103,0,0.04,100,0.005,3,0,74350
103,0,0.04,100,0.0025,10,0,74000
104,2,0.04,100,0.02,6,0,81650
104,2,0.04,100,0.01,7,0,80550
104,2,0.04,100,0.005,7,0,80550
104,2,0.04,100,0.0025,5,0,80550
105,3,0.04,100,0.02,4,0,115050
105,3,0.04,100,0.01,4,0,114950
105,3,0.04,100,0.005,1,0,159450
105,3,0.04,100,0.0025,4,0,110950
106,0,0.04,100,0.02,3,0,93600
106,0,0.04,100,0.01,5,0,93550
106,0,0.04,100,0.005,4,0,93550
106,0,0.04,100,0.0025,7,0,95000
