seed,a_star,eps,vis,fr,rank,dropped,total_tries
1,3,0.05,100,0.02,1,0,62900
1,3,0.05,100,0.01,4,0,55400
1,3,0.05,100,0.005,8,0,54950
1,3,0.05,100,0.0025,5,0,69500
2,2,0.05,100,0.02,2,0,74750
2,2,0.05,100,0.01,2,0,74750
2,2,0.05,100,0.005,1,0,74000
2,2,0.05,100,0.0025,2,0,100000
3,0,0.05,100,0.02,1,0,47500
3,0,0.05,100,0.01,1,0,47500
3,0,0.05,100,0.005,5,0,47500
3,0,0.05,100,0.0025,5,0,47500
4,3,0.05,100,0.02,4,0,55400
4,3,0.05,100,0.01,3,0,55350
4,3,0.05,100,0.005,3,0,38000
4,3,0.05,100,0.0025,6,0,38000
5,0,0.05,100,0.02,1,0,88050
5,0,0.05,100,0.01,2,0,88000
5,0,0.05,100,0.005,1,0,81500
5,0,0.05,100,0.0025,1,0,88000
6,1,0.05,100,0.02,1,0,45000
6,1,0.05,100,0.01,1,0,45000
6,1,0.05,100,0.005,2,0,45000
6,1,0.05,100,0.0025,2,0,45000
7,0,0.05,100,0.02,3,0,57000
7,0,0.05,100,0.01,4,0,58500
7,0,0.05,100,0.005,6,0,58500
7,0,0.05,100,0.0025,6,0,57000
8,3,0.05,100,0.02,1,0,74400
8,3,0.05,100,0.01,2,0,66500
8,3,0.05,100,0.005,2,0,66500
8,3,0.05,100,0.0025,2,0,66500
9,3,0.05,100,0.02,5,0,56550
9,3,0.05,100,0.01,9,0,56550
9,3,0.05,100,0.005,8,0,56500
9,3,0.05,100,0.0025,8,0,56500
10,0,0.05,100,0.02,2,0,86050
10,0,0.05,100,0.01,5,0,86000
10,0,0.05,100,0.005,2,0,59500
10,0,0.05,100,0.0025,5,0,85500
11,1,0.05,100,0.02,2,0,65500
11,1,0.05,100,0.01,1,0,64350
11,1,0.05,100,0.005,1,0,64350
11,1,0.05,100,0.0025,3,0,65500
12,1,0.05,100,0.02,3,0,88500
12,1,0.05,100,0.01,4,0,86450
12,1,0.05,100,0.005,4,0,86000
12,1,0.05,100,0.0025,4,0,88500
13,3,0.05,100,0.02,3,0,66000
13,3,0.05,100,0.01,4,0,60450
13,3,0.05,100,0.005,3,0,68000
13,3,0.05,100,0.0025,3,0,68000
14,0,0.05,100,0.02,1,0,64950
14,0,0.05,100,0.01,1,0,65450
14,0,0.05,100,0.005,2,0,43500
14,0,0.05,100,0.0025,2,0,43500
15,1,0.05,100,0.02,4,0,59000
15,1,0.05,100,0.01,4,0,59000
15,1,0.05,100,0.005,6,0,59000
15,1,0.05,100,0.0025,10,0,59000
16,3,0.05,100,0.02,1,0,43000
16,3,0.05,100,0.01,1,0,42750
16,3,0.05,100,0.005,2,0,42500
16,3,0.05,100,0.0025,1,0,42500
17,3,0.05,100,0.02,2,0,45800
17,3,0.05,100,0.01,3,0,45800
17,3,0.05,100,0.005,10,0,45500
17,3,0.05,100,0.0025,10,0,45500
18,2,0.05,100,0.02,4,0,90450
18,2,0.05,100,0.01,4,0,90000
18,2,0.05,100,0.005,4,0,90000
18,2,0.05,100,0.0025,4,0,90000
19,1,0.05,100,0.02,1,0,41000
19,1,0.05,100,0.01,2,0,41000
19,1,0.05,100,0.005,2,0,41000
19,1,0.05,100,0.0025,3,0,41000
20,0,0.05,100,0.02,4,0,89750
20,0,0.05,100,0.01,1,0,89000
20,0,0.05,100,0.005,2,0,89000
20,0,0.05,100,0.0025,2,0,89000
21,0,0.05,100,0.02,3,0,53900
21,0,0.05,100,0.01,6,0,53500
21,0,0.05,100,0.005,6,0,53500
21,0,0.05,100,0.0025,6,0,53500
22,2,0.05,100,0.02,2,0,61000
22,2,0.05,100,0.01,6,0,61000
22,2,0.05,100,0.005,7,0,61000
22,2,0.05,100,0.0025,5,0,64000
23,3,0.05,100,0.02,3,0,63500
23,3,0.05,100,0.01,4,0,82450
23,3,0.05,100,0.005,7,0,82400
23,3,0.05,100,0.0025,7,0,81500
24,0,0.05,100,0.02,3,0,70500
24,0,0.05,100,0.01,6,0,70950
24,0,0.05,100,0.005,10,0,70950
24,0,0.05,100,0.0025,3,0,70500
25,3,0.05,100,0.02,3,0,82250
25,3,0.05,100,0.01,3,0,68000
25,3,0.05,100,0.005,3,0,68000
25,3,0.05,100,0.0025,3,0,73500
26,3,0.05,100,0.02,1,0,71250
26,3,0.05,100,0.01,1,0,71250
26,3,0.05,100,0.005,1,0,71000
26,3,0.05,100,0.0025,1,0,71000
27,2,0.05,100,0.02,2,0,62150
27,2,0.05,100,0.01,1,0,61850
27,2,0.05,100,0.005,3,0,61000
27,2,0.05,100,0.0025,3,0,61000
28,2,0.05,100,0.02,3,0,59000
28,2,0.05,100,0.01,6,0,59000
28,2,0.05,100,0.005,6,0,59000
28,2,0.05,100,0.0025,6,0,65000
29,1,0.05,100,0.02,1,0,103000
29,1,0.05,100,0.01,1,0,103000
29,1,0.05,100,0.005,1,0,103000
29,1,0.05,100,0.0025,3,0,74000
30,2,0.05,100,0.02,4,0,90500
30,2,0.05,100,0.01,4,0,90500
30,2,0.05,100,0.005,1,0,98250
30,2,0.05,100,0.0025,2,0,98250
31,1,0.05,100,0.02,3,0,57750
31,1,0.05,100,0.01,4,0,57050
31,1,0.05,100,0.005,6,0,57000
31,1,0.05,100,0.0025,6,0,57000
32,3,0.05,100,0.02,5,0,95250
32,3,0.05,100,0.01,4,0,95000
32,3,0.05,100,0.005,4,0,95000
32,3,0.05,100,0.0025,5,0,47500
33,3,0.05,100,0.02,1,0,120700
33,3,0.05,100,0.01,6,0,152050
33,3,0.05,100,0.005,6,0,152000
33,3,0.05,100,0.0025,6,0,152000
34,3,0.05,100,0.02,2,0,58000
34,3,0.05,100,0.01,2,0,58000
34,3,0.05,100,0.005,1,0,58000
34,3,0.05,100,0.0025,4,0,58000
35,2,0.05,100,0.02,1,0,66250
35,2,0.05,100,0.01,1,0,66000
35,2,0.05,100,0.005,2,0,66000
35,2,0.05,100,0.0025,4,0,66500
