seed,a_star,eps,vis,fr,rank,dropped,total_tries
1,3,0.02,100,0.02,1,0,370650
1,3,0.02,100,0.01,3,0,324400
1,3,0.02,100,0.005,7,0,323950
1,3,0.02,100,0.0025,6,0,411400
2,2,0.02,100,0.02,3,0,419000
2,2,0.02,100,0.01,3,0,417650
2,2,0.02,100,0.005,1,0,420250
2,2,0.02,100,0.0025,3,0,564500
3,0,0.02,100,0.02,1,0,269150
3,0,0.02,100,0.01,1,0,267800
3,0,0.02,100,0.005,3,0,267000
3,0,0.02,100,0.0025,5,0,267000
4,3,0.02,100,0.02,3,0,305700
4,3,0.02,100,0.01,4,0,304800
4,3,0.02,100,0.005,3,0,215400
4,3,0.02,100,0.0025,6,0,215000
5,0,0.02,100,0.02,1,0,505300
5,0,0.02,100,0.01,1,0,504450
5,0,0.02,100,0.005,1,0,463250
5,0,0.02,100,0.0025,3,0,504900
6,1,0.02,100,0.02,1,0,252650
6,1,0.02,100,0.01,1,0,251500
6,1,0.02,100,0.005,1,0,251300
6,1,0.02,100,0.0025,1,0,250850
7,0,0.02,100,0.02,3,0,328700
7,0,0.02,100,0.01,3,0,335500
7,0,0.02,100,0.005,3,0,335000
7,0,0.02,100,0.0025,6,0,327500
8,3,0.02,100,0.02,1,0,416050
8,3,0.02,100,0.01,2,0,377150
8,3,0.02,100,0.005,2,0,377550
8,3,0.02,100,0.0025,2,0,377500
9,3,0.02,100,0.02,5,0,328300
9,3,0.02,100,0.01,9,0,326950
9,3,0.02,100,0.005,9,0,326950
9,3,0.02,100,0.0025,9,0,326500
10,0,0.02,100,0.02,2,0,485750
10,0,0.02,100,0.01,6,0,483750
10,0,0.02,100,0.005,2,0,331400
10,0,0.02,100,0.0025,6,0,483050
11,1,0.02,100,0.02,2,0,379000
11,1,0.02,100,0.01,1,0,370850
11,1,0.02,100,0.005,1,0,370300
11,1,0.02,100,0.0025,3,0,377950
12,1,0.02,100,0.02,3,0,516500
12,1,0.02,100,0.01,4,0,483600
12,1,0.02,100,0.005,4,0,482750
12,1,0.02,100,0.0025,5,0,511500
13,3,0.02,100,0.02,3,0,367100
13,3,0.02,100,0.01,4,0,348950
13,3,0.02,100,0.005,3,0,385450
13,3,0.02,100,0.0025,3,0,385000
14,0,0.02,100,0.02,1,0,368400
14,0,0.02,100,0.01,1,0,366500
14,0,0.02,100,0.005,1,0,248000
14,0,0.02,100,0.0025,1,0,248000
15,1,0.02,100,0.02,4,0,352300
15,1,0.02,100,0.01,4,0,351000
15,1,0.02,100,0.005,5,0,351000
15,1,0.02,100,0.0025,10,0,351000
16,3,0.02,100,0.02,1,0,243300
16,3,0.02,100,0.01,2,0,242200
16,3,0.02,100,0.005,2,0,241950
16,3,0.02,100,0.0025,2,0,241950
17,3,0.02,100,0.02,2,0,266300
17,3,0.02,100,0.01,3,0,265650
17,3,0.02,100,0.005,6,0,265500
17,3,0.02,100,0.0025,6,0,265500
18,2,0.02,100,0.02,4,0,513100
18,2,0.02,100,0.01,4,0,504900
18,2,0.02,100,0.005,5,0,504550
18,2,0.02,100,0.0025,4,0,504500
19,1,0.02,100,0.02,1,0,230550
19,1,0.02,100,0.01,3,0,230200
