seed,a_star,eps,vis,fr,rank,dropped,total_tries
1,3,0.1,100,0.02,1,0,33000
1,3,0.1,100,0.01,4,0,28500
1,3,0.1,100,0.005,8,0,28500
1,3,0.1,100,0.0025,5,0,36000
2,2,0.1,100,0.02,2,0,37500
2,2,0.1,100,0.01,2,0,37500
2,2,0.1,100,0.005,6,0,37500
2,2,0.1,100,0.0025,6,0,49500
3,0,0.1,100,0.02,1,0,24000
3,0,0.1,100,0.01,1,0,24000
3,0,0.1,100,0.005,5,0,24000
3,0,0.1,100,0.0025,4,0,24000
4,3,0.1,100,0.02,3,0,27000
4,3,0.1,100,0.01,4,0,27000
4,3,0.1,100,0.005,5,0,19500
4,3,0.1,100,0.0025,8,0,19500
5,0,0.1,100,0.02,3,0,43500
5,0,0.1,100,0.01,3,0,43500
5,0,0.1,100,0.005,1,0,40500
5,0,0.1,100,0.0025,2,0,43500
6,1,0.1,100,0.02,3,0,21000
6,1,0.1,100,0.01,2,0,21000
6,1,0.1,100,0.005,3,0,21000
6,1,0.1,100,0.0025,3,0,21000
7,0,0.1,100,0.02,3,0,30000
7,0,0.1,100,0.01,4,0,30000
7,0,0.1,100,0.005,6,0,30000
7,0,0.1,100,0.0025,6,0,30000
8,3,0.1,100,0.02,1,0,39000
8,3,0.1,100,0.01,2,0,36000
8,3,0.1,100,0.005,2,0,36000
8,3,0.1,100,0.0025,2,0,36000
9,3,0.1,100,0.02,4,0,27000
9,3,0.1,100,0.01,8,0,27000
9,3,0.1,100,0.005,8,0,27000
9,3,0.1,100,0.0025,8,0,27000
10,0,0.1,100,0.02,2,0,42000
10,0,0.1,100,0.01,6,0,42000
10,0,0.1,100,0.005,2,0,28500
10,0,0.1,100,0.0025,6,0,42000
11,1,0.1,100,0.02,2,0,31500
11,1,0.1,100,0.01,1,0,31500
11,1,0.1,100,0.005,1,0,31500
11,1,0.1,100,0.0025,3,0,31500
12,1,0.1,100,0.02,4,0,43500
12,1,0.1,100,0.01,4,0,43500
12,1,0.1,100,0.005,4,0,43500
12,1,0.1,100,0.0025,4,0,43500
13,3,0.1,100,0.02,3,0,34500
13,3,0.1,100,0.01,4,0,31500
13,3,0.1,100,0.005,3,0,34500
13,3,0.1,100,0.0025,3,0,34500
14,0,0.1,100,0.02,1,0,31500
14,0,0.1,100,0.01,1,0,31500
14,0,0.1,100,0.005,2,0,19500
14,0,0.1,100,0.0025,3,0,19500
15,1,0.1,100,0.02,5,0,28500
15,1,0.1,100,0.01,6,0,28500
15,1,0.1,100,0.005,6,0,28500
15,1,0.1,100,0.0025,10,0,28500
16,3,0.1,100,0.02,1,0,21000
16,3,0.1,100,0.01,1,0,21000
16,3,0.1,100,0.005,1,0,21000
16,3,0.1,100,0.0025,1,0,21000
17,3,0.1,100,0.02,1,0,22500
17,3,0.1,100,0.01,3,0,22500
17,3,0.1,100,0.005,10,0,22500
