seed,a_star,eps,vis,fr,rank,dropped,total_tries
41,0,0.07,100,0.02,3,0,36000
41,0,0.07,100,0.01,5,0,36000
41,0,0.07,100,0.005,7,0,35500
41,0,0.07,100,0.0025,7,0,35500
42,1,0.07,100,0.02,4,0,27000
42,1,0.07,100,0.01,3,0,27000
42,1,0.07,100,0.005,2,0,27000
42,1,0.07,100,0.0025,2,0,30000
43,0,0.07,100,0.02,5,0,30000
43,0,0.07,100,0.01,3,0,29500
43,0,0.07,100,0.005,6,0,29500
43,0,0.07,100,0.0025,5,0,29500
44,1,0.07,100,0.02,2,0,23000
44,1,0.07,100,0.01,3,0,27500
44,1,0.07,100,0.005,2,0,27500
44,1,0.07,100,0.0025,4,0,27500
45,2,0.07,100,0.02,3,0,27500
45,2,0.07,100,0.01,2,0,27500
45,2,0.07,100,0.005,5,0,27500
45,2,0.07,100,0.0025,5,0,23500
46,2,0.07,100,0.02,1,0,51450
46,2,0.07,100,0.01,9,0,28000
46,2,0.07,100,0.005,9,0,28000
46,2,0.07,100,0.0025,8,0,28000
47,2,0.07,100,0.02,4,0,36000
47,2,0.07,100,0.01,6,0,40500
47,2,0.07,100,0.005,6,0,40500
47,2,0.07,100,0.0025,9,0,40500
48,2,0.07,100,0.02,1,0,47500
48,2,0.07,100,0.01,1,0,47500
48,2,0.07,100,0.005,3,0,47500
48,2,0.07,100,0.0025,1,0,47500
49,3,0.07,100,0.02,2,0,39000
49,3,0.07,100,0.01,2,0,46500
49,3,0.07,100,0.005,6,0,39000
49,3,0.07,100,0.0025,10,0,39000
50,2,0.07,100,0.02,3,0,39650
50,2,0.07,100,0.01,6,0,31500
50,2,0.07,100,0.005,6,0,30000
50,2,0.07,100,0.0025,8,0,30000
51,3,0.07,100,0.02,2,0,36500
51,3,0.07,100,0.01,6,0,36500
51,3,0.07,100,0.005,5,0,36500
51,3,0.07,100,0.0025,4,0,36500
52,0,0.07,100,0.02,1,0,24000
52,0,0.07,100,0.01,1,0,24000
52,0,0.07,100,0.005,1,0,24000
52,0,0.07,100,0.0025,4,0,24000
53,2,0.07,100,0.02,3,0,55000
53,2,0.07,100,0.01,2,0,43500
53,2,0.07,100,0.005,5,0,43500
53,2,0.07,100,0.0025,8,0,43500
54,3,0.07,100,0.02,2,0,31950
54,3,0.07,100,0.01,2,0,31950
54,3,0.07,100,0.005,1,0,34000
54,3,0.07,100,0.0025,2,0,31950
55,3,0.07,100,0.02,1,0,35500
55,3,0.07,100,0.01,4,0,35500
55,3,0.07,100,0.005,1,0,35000
55,3,0.07,100,0.0025,4,0,35500
56,2,0.07,100,0.02,2,0,43500
56,2,0.07,100,0.01,1,0,43500
56,2,0.07,100,0.005,1,0,43500
56,2,0.07,100,0.0025,3,0,43500
57,1,0.07,100,0.02,3,0,28500
57,1,0.07,100,0.01,3,0,28500
57,1,0.07,100,0.005,3,0,28500
57,1,0.07,100,0.0025,2,0,28500
58,3,0.07,100,0.02,1,0,35500
58,3,0.07,100,0.01,1,0,35500
58,3,0.07,100,0.005,1,0,35500
58,3,0.07,100,0.0025,1,0,35500
59,3,0.07,100,0.02,1,0,35500
59,3,0.07,100,0.01,2,0,35500
59,3,0.07,100,0.005,6,0,35500
59,3,0.07,100,0.0025,6,0,28000
60,3,0.07,100,0.02,1,0,46000
60,3,0.07,100,0.01,10,0,46000
60,3,0.07,100,0.005,5,0,46000
60,3,0.07,100,0.0025,10,0,46000
61,0,0.07,100,0.02,3,0,46800
61,0,0.07,100,0.01,1,0,46000
61,0,0.07,100,0.005,3,0,50000
61,0,0.07,100,0.0025,2,0,50000
62,2,0.07,100,0.02,2,0,39000
62,2,0.07,100,0.01,4,0,39000
62,2,0.07,100,0.005,4,0,39000
62,2,0.07,100,0.0025,3,0,39000
63,1,0.07,100,0.02,2,0,27000
63,1,0.07,100,0.01,2,0,27000
63,1,0.07,100,0.005,6,0,27000
63,1,0.07,100,0.0025,8,0,30000
64,3,0.07,100,0.02,3,0,299000
64,3,0.07,100,0.01,3,0,34000
64,3,0.07,100,0.005,3,0,34000
64,3,0.07,100,0.0025,4,0,34000
65,0,0.07,100,0.02,2,0,30700
65,0,0.07,100,0.01,2,0,30700
65,0,0.07,100,0.005,2,0,31500
65,0,0.07,100,0.0025,4,0,22000
66,2,0.07,100,0.02,2,0,42450
66,2,0.07,100,0.01,5,0,42000
66,2,0.07,100,0.005,5,0,42000
66,2,0.07,100,0.0025,5,0,42000
67,0,0.07,100,0.02,4,0,38500
67,0,0.07,100,0.01,4,0,38500
67,0,0.07,100,0.005,2,0,38500
67,0,0.07,100,0.0025,2,0,38500
68,2,0.07,100,0.02,2,0,45500
68,2,0.07,100,0.01,2,0,45500
68,2,0.07,100,0.005,6,0,45500
68,2,0.07,100,0.0025,6,0,45500
69,0,0.07,100,0.02,4,0,35000
69,0,0.07,100,0.01,4,0,35000
69,0,0.07,100,0.005,6,0,35000
69,0,0.07,100,0.0025,6,0,35000
70,1,0.07,100,0.02,2,0,28000
70,1,0.07,100,0.01,5,0,28000
70,1,0.07,100,0.005,5,0,27500
70,1,0.07,100,0.0025,5,0,27500
71,2,0.07,100,0.02,2,0,42500
71,2,0.07,100,0.01,2,0,42500
71,2,0.07,100,0.005,2,0,44500
71,2,0.07,100,0.0025,3,0,44500
72,2,0.07,100,0.02,2,0,43000
72,2,0.07,100,0.01,3,0,43000
72,2,0.07,100,0.005,7,0,43000
72,2,0.07,100,0.0025,6,0,43000
73,1,0.07,100,0.02,3,0,33500
73,1,0.07,100,0.01,3,0,33500
73,1,0.07,100,0.005,3,0,33500
73,1,0.07,100,0.0025,5,0,33500
74,0,0.07,100,0.02,5,0,57000
74,0,0.07,100,0.01,3,0,41500
