seed,a_star,eps,vis,fr,rank,dropped,total_tries
1,3,0.04,100,0.02,1,0,95000
1,3,0.04,100,0.01,2,0,83500
1,3,0.04,100,0.005,6,0,83500
1,3,0.04,100,0.0025,5,0,105500
2,2,0.04,100,0.02,3,0,112650
2,2,0.04,100,0.01,3,0,112500
2,2,0.04,100,0.005,1,0,112000
2,2,0.04,100,0.0025,2,0,151000
3,0,0.04,100,0.02,1,0,71650
3,0,0.04,100,0.01,1,0,71200
3,0,0.04,100,0.005,6,0,71150
3,0,0.04,100,0.0025,8,0,71150
4,3,0.04,100,0.02,3,0,82350
4,3,0.04,100,0.01,4,0,81900
4,3,0.04,100,0.005,3,0,57500
4,3,0.04,100,0.0025,6,0,57500
5,0,0.04,100,0.02,1,0,133450
5,0,0.04,100,0.01,2,0,133500
5,0,0.04,100,0.005,1,0,123000
5,0,0.04,100,0.0025,1,0,133500
6,1,0.04,100,0.02,1,0,67350
6,1,0.04,100,0.01,1,0,67000
6,1,0.04,100,0.005,1,0,67000
6,1,0.04,100,0.0025,2,0,67000
7,0,0.04,100,0.02,3,0,86350
7,0,0.04,100,0.01,3,0,89000
7,0,0.04,100,0.005,6,0,89000
7,0,0.04,100,0.0025,6,0,86000
8,3,0.04,100,0.02,1,0,111850
8,3,0.04,100,0.01,2,0,100600
8,3,0.04,100,0.005,2,0,100100
8,3,0.04,100,0.0025,2,0,100550
9,3,0.04,100,0.02,5,0,84050
9,3,0.04,100,0.01,9,0,84000
9,3,0.04,100,0.005,8,0,84000
9,3,0.04,100,0.0025,8,0,84000
10,0,0.04,100,0.02,2,0,130500
10,0,0.04,100,0.01,6,0,130450
10,0,0.04,100,0.005,2,0,89950
10,0,0.04,100,0.0025,6,0,130450
11,1,0.04,100,0.02,2,0,98450
11,1,0.04,100,0.01,1,0,96500
11,1,0.04,100,0.005,1,0,96500
11,1,0.04,100,0.0025,2,0,98000
12,1,0.04,100,0.02,3,0,134400
12,1,0.04,100,0.01,4,0,128400
12,1,0.04,100,0.005,4,0,128400
12,1,0.04,100,0.0025,4,0,133900
13,3,0.04,100,0.02,3,0,99500
13,3,0.04,100,0.01,4,0,93000
13,3,0.04,100,0.005,3,0,103500
13,3,0.04,100,0.0025,3,0,103500
14,0,0.04,100,0.02,1,0,97650
14,0,0.04,100,0.01,2,0,97700
14,0,0.04,100,0.005,2,0,65900
14,0,0.04,100,0.0025,4,0,65900
15,1,0.04,100,0.02,4,0,91500
15,1,0.04,100,0.01,5,0,91500
15,1,0.04,100,0.005,6,0,91500
15,1,0.04,100,0.0025,10,0,91500
16,3,0.04,100,0.02,1,0,64700
16,3,0.04,100,0.01,1,0,64500
16,3,0.04,100,0.005,3,0,64500
16,3,0.04,100,0.0025,3,0,64500
17,3,0.04,100,0.02,1,0,70300
17,3,0.04,100,0.01,2,0,70350
17,3,0.04,100,0.005,10,0,70050
17,3,0.04,100,0.0025,10,0,70050
18,2,0.04,100,0.02,4,0,135350
18,2,0.04,100,0.01,4,0,134400
18,2,0.04,100,0.005,4,0,134000
18,2,0.04,100,0.0025,4,0,134000
19,1,0.04,100,0.02,1,0,61500
19,1,0.04,100,0.01,2,0,61500
