seed,a_star,eps,vis,fr,rank,dropped,total_tries
1,3,0.03,100,0.02,1,0,165650
1,3,0.03,100,0.01,2,0,145000
1,3,0.03,100,0.005,6,0,145000
1,3,0.03,100,0.0025,5,0,183750
2,2,0.03,100,0.02,3,0,190500
2,2,0.03,100,0.01,3,0,190500
2,2,0.03,100,0.005,1,0,190500
2,2,0.03,100,0.0025,3,0,258000
3,0,0.03,100,0.02,1,0,121650
3,0,0.03,100,0.01,1,0,121150
3,0,0.03,100,0.005,5,0,120650
3,0,0.03,100,0.0025,5,0,120200
4,3,0.03,100,0.02,3,0,141350
4,3,0.03,100,0.01,4,0,140950
4,3,0.03,100,0.005,3,0,100900
4,3,0.03,100,0.0025,8,0,100900
5,0,0.03,100,0.02,1,0,229800
5,0,0.03,100,0.01,5,0,229050
5,0,0.03,100,0.005,2,0,210750
5,0,0.03,100,0.0025,3,0,228900
6,1,0.03,100,0.02,1,0,114750
6,1,0.03,100,0.01,1,0,114000
6,1,0.03,100,0.005,1,0,114000
6,1,0.03,100,0.0025,1,0,114000
7,0,0.03,100,0.02,3,0,149750
7,0,0.03,100,0.01,3,0,152450
7,0,0.03,100,0.005,6,0,152450
7,0,0.03,100,0.0025,6,0,149000
8,3,0.03,100,0.02,1,0,189700
8,3,0.03,100,0.01,2,0,173750
8,3,0.03,100,0.005,2,0,173250
8,3,0.03,100,0.0025,2,0,172900
9,3,0.03,100,0.02,5,0,146900
9,3,0.03,100,0.01,9,0,146050
9,3,0.03,100,0.005,9,0,146050
9,3,0.03,100,0.0025,9,0,146050
10,0,0.03,100,0.02,2,0,221700
10,0,0.03,100,0.01,6,0,222050
10,0,0.03,100,0.005,2,0,151900
10,0,0.03,100,0.0025,6,0,221950
11,1,0.03,100,0.02,3,0,170900
11,1,0.03,100,0.01,1,0,166800
11,1,0.03,100,0.005,1,0,166850
11,1,0.03,100,0.0025,2,0,170500
12,1,0.03,100,0.02,4,0,232500
12,1,0.03,100,0.01,5,0,218800
12,1,0.03,100,0.005,4,0,218450
12,1,0.03,100,0.0025,4,0,230900
13,3,0.03,100,0.02,3,0,167800
13,3,0.03,100,0.01,5,0,158400
13,3,0.03,100,0.005,3,0,176000
13,3,0.03,100,0.0025,3,0,176000
14,0,0.03,100,0.02,1,0,166050
14,0,0.03,100,0.01,1,0,165850
14,0,0.03,100,0.005,1,0,112800
14,0,0.03,100,0.0025,1,0,112000
15,1,0.03,100,0.02,4,0,158850
15,1,0.03,100,0.01,5,0,158850
15,1,0.03,100,0.005,6,0,158450
15,1,0.03,100,0.0025,10,0,158450
16,3,0.03,100,0.02,1,0,111200
16,3,0.03,100,0.01,1,0,111150
16,3,0.03,100,0.005,3,0,111000
16,3,0.03,100,0.0025,3,0,111000
17,3,0.03,100,0.02,1,0,120800
17,3,0.03,100,0.01,1,0,120550
17,3,0.03,100,0.005,7,0,120500
17,3,0.03,100,0.0025,6,0,120500
18,2,0.03,100,0.02,4,0,233300
