seed,a_star,eps,vis,fr,rank,dropped,total_tries
73,1,0.1,100,0.005,3,0,28500
73,1,0.1,100,0.0025,5,0,28500
74,0,0.1,100,0.02,5,0,48000
74,0,0.1,100,0.01,3,0,34500
74,0,0.1,100,0.005,4,0,48000
74,0,0.1,100,0.0025,3,0,48000
75,1,0.1,100,0.02,6,0,31500
75,1,0.1,100,0.01,6,0,31500
75,1,0.1,100,0.005,7,0,31500
75,1,0.1,100,0.0025,4,0,31500
76,2,0.1,100,0.02,,1,0
76,2,0.1,100,0.01,,1,0
76,2,0.1,100,0.005,,1,0
76,2,0.1,100,0.0025,,1,0
77,2,0.1,100,0.02,2,0,22500
77,2,0.1,100,0.01,4,0,22500
77,2,0.1,100,0.005,4,0,22500
77,2,0.1,100,0.0025,4,0,22500
78,0,0.1,100,0.02,1,0,37500
78,0,0.1,100,0.01,3,0,37500
78,0,0.1,100,0.005,4,0,37500
78,0,0.1,100,0.0025,3,0,37500
79,0,0.1,100,0.02,6,0,30000
79,0,0.1,100,0.01,8,0,30000
79,0,0.1,100,0.005,6,0,30000
79,0,0.1,100,0.0025,6,0,34500
80,1,0.1,100,0.02,1,0,66000
80,1,0.1,100,0.01,1,0,66000
80,1,0.1,100,0.005,1,0,66000
80,1,0.1,100,0.0025,6,0,66000
81,3,0.1,100,0.02,2,0,42000
81,3,0.1,100,0.01,2,0,42000
81,3,0.1,100,0.005,2,0,42000
81,3,0.1,100,0.0025,2,0,42000
82,3,0.1,100,0.02,1,0,31500
82,3,0.1,100,0.01,3,0,31500
82,3,0.1,100,0.005,5,0,31500
82,3,0.1,100,0.0025,5,0,31500
83,1,0.1,100,0.02,3,0,30000
83,1,0.1,100,0.01,1,0,30000
83,1,0.1,100,0.005,10,0,21000
83,1,0.1,100,0.0025,10,0,22500
84,1,0.1,100,0.02,6,0,37500
84,1,0.1,100,0.01,6,0,37500
84,1,0.1,100,0.005,5,0,37500
84,1,0.1,100,0.0025,4,0,37500
85,1,0.1,100,0.02,2,0,31500
85,1,0.1,100,0.01,3,0,31500
85,1,0.1,100,0.005,2,0,31500
85,1,0.1,100,0.0025,4,0,31500
86,2,0.1,100,0.02,1,0,31500
86,2,0.1,100,0.01,1,0,43500
86,2,0.1,100,0.005,4,0,43500
86,2,0.1,100,0.0025,4,0,43500
87,2,0.1,100,0.02,2,0,36000
87,2,0.1,100,0.01,2,0,36000
87,2,0.1,100,0.005,1,0,36000
87,2,0.1,100,0.0025,5,0,33000
88,2,0.1,100,0.02,2,0,30000
88,2,0.1,100,0.01,8,0,30000
88,2,0.1,100,0.005,8,0,30000
88,2,0.1,100,0.0025,8,0,30000
89,0,0.1,100,0.02,3,0,27000
89,0,0.1,100,0.01,2,0,27000
89,0,0.1,100,0.005,1,0,27000
89,0,0.1,100,0.0025,2,0,27000
90,1,0.1,100,0.02,1,0,24000
90,1,0.1,100,0.01,1,0,24000
90,1,0.1,100,0.005,1,0,24000
90,1,0.1,100,0.0025,1,0,21000
91,2,0.1,100,0.02,1,0,31500
91,2,0.1,100,0.01,3,0,28500
91,2,0.1,100,0.005,3,0,28500
91,2,0.1,100,0.0025,3,0,28500
92,2,0.1,100,0.02,4,0,28500
92,2,0.1,100,0.01,7,0,30000
92,2,0.1,100,0.005,6,0,30000
92,2,0.1,100,0.0025,5,0,30000
93,0,0.1,100,0.02,4,0,22500
93,0,0.1,100,0.01,1,0,22500
93,0,0.1,100,0.005,5,0,22500
93,0,0.1,100,0.0025,2,0,22500
94,2,0.1,100,0.02,2,0,42000
94,2,0.1,100,0.01,2,0,42000
94,2,0.1,100,0.005,2,0,42000
94,2,0.1,100,0.0025,5,0,42000
95,2,0.1,100,0.02,1,0,37500
95,2,0.1,100,0.01,1,0,37500
95,2,0.1,100,0.005,2,0,37500
95,2,0.1,100,0.0025,1,0,37500
96,2,0.1,100,0.02,1,0,40500
96,2,0.1,100,0.01,1,0,40500
96,2,0.1,100,0.005,1,0,40500
96,2,0.1,100,0.0025,1,0,40500
97,0,0.1,100,0.02,1,0,28500
97,0,0.1,100,0.01,4,0,30000
97,0,0.1,100,0.005,5,0,30000
97,0,0.1,100,0.0025,4,0,30000
100,1,0.1,100,0.02,1,0,37500
100,1,0.1,100,0.01,6,0,37500
100,1,0.1,100,0.005,5,0,37500
100,1,0.1,100,0.0025,5,0,37500
101,3,0.1,100,0.02,,1,0
101,3,0.1,100,0.01,,1,0
101,3,0.1,100,0.005,,1,0
101,3,0.1,100,0.0025,,1,0
102,2,0.1,100,0.02,5,0,31500
102,2,0.1,100,0.01,5,0,31500
102,2,0.1,100,0.005,5,0,37500
102,2,0.1,100,0.0025,4,0,39000
103,0,0.1,100,0.02,3,0,31500
103,0,0.1,100,0.01,3,0,31500
103,0,0.1,100,0.005,3,0,25500
103,0,0.1,100,0.0025,10,0,25500
104,2,0.1,100,0.02,2,0,27000
104,2,0.1,100,0.01,4,0,27000
104,2,0.1,100,0.005,4,0,27000
104,2,0.1,100,0.0025,4,0,27000
105,3,0.1,100,0.02,4,0,39000
105,3,0.1,100,0.01,4,0,39000
105,3,0.1,100,0.005,1,0,55500
105,3,0.1,100,0.0025,3,0,39000
106,0,0.1,100,0.02,3,0,31500
106,0,0.1,100,0.01,5,0,31500
106,0,0.1,100,0.005,4,0,31500
106,0,0.1,100,0.0025,7,0,31500
107,0,0.1,100,0.02,3,0,33000
107,0,0.1,100,0.01,4,0,33000
107,0,0.1,100,0.005,2,0,33000
107,0,0.1,100,0.0025,3,0,33000
108,2,0.1,100,0.02,1,0,33000
