method,n,avg_rank,top1,top2,top3,avg_time_sec,total_time_sec,avg_gap_time,avg_num_gaps
Known fault rate,290,1.706896551724138,0.6448275862068965,0.8448275862068966,0.9206896551724137,34.58703407172499,10030.239880800247,0.49910723093830095,69.60344827586206
Unknown fault rate,290,1.6275862068965516,0.7,0.8724137931034482,0.9172413793103448,148.62510205712812,43101.279596567154,2.143054890653434,69.60344827586206
