method,real_fault_rate,n,avg_rank,top1,top2,top3,avg_time_sec,total_time_sec
Known fault rate,0.5,150,1.9733333333333334,0.5666666666666667,0.7866666666666666,0.8866666666666667,29.39744111855825,4409.616167783737
Unknown fault rate,0.5,150,1.9733333333333334,0.5866666666666667,0.7933333333333333,0.8533333333333334,125.5113867632548,18826.70801448822
Known fault rate,0.8,140,1.4214285714285715,0.7285714285714285,0.9071428571428571,0.9571428571428572,40.14731223583222,5620.62371301651
Unknown fault rate,0.8,140,1.2571428571428571,0.8214285714285714,0.9571428571428572,0.9857142857142858,173.38979701484953,24274.571582078934
