real_fault_rate,method,n,avg_rank,avg_runtime_sec
0.5,Known fault rate,150,1.9733333333333334,29.39744111855825
0.5,Unknown fault rate,150,1.9733333333333334,125.5113867632548
0.8,Known fault rate,140,1.4214285714285715,40.14731223583222
0.8,Unknown fault rate,140,1.2571428571428571,173.38979701484953
